2024-04-24 10:47:10 status unpacked libpam-modules:amd64 1.5.3-5ubuntu5
2024-04-24 10:47:10 install libpam-modules-bin:amd64 <none> 1.5.3-5ubuntu5
2024-04-24 10:47:10 status half-installed libpam-modules-bin:amd64 1.5.3-5ubuntu5
2024-04-24 10:47:10 status unpacked libpam-modules-bin:amd64 1.5.3-5ubuntu5
2024-04-24 10:47:10 install libpam-runtime:all <none> 1.5.3-5ubuntu5
2024-04-24 10:47:10 status half-installed libpam-runtime:all 1.5.3-5ubuntu5
2024-04-24 10:47:10 status unpacked libpam-runtime:all 1.5.3-5ubuntu5
2024-04-24 10:47:10 install libpam0g:amd64 <none> 1.5.3-5ubuntu5
2024-04-24 10:47:10 status half-installed libpam0g:amd64 1.5.3-5ubuntu5
2024-04-24 10:47:10 status unpacked libpam0g:amd64 1.5.3-5ubuntu5
2024-04-24 10:47:10 install libpcre2-8-0:amd64 <none> 10.42-4ubuntu2
2024-04-24 10:47:10 status half-installed libpcre2-8-0:amd64 10.42-4ubuntu2
2024-04-24 10:47:10 status unpacked libpcre2-8-0:amd64 10.42-4ubuntu2
2024-04-24 10:47:10 install libproc2-0:amd64 <none> 2:4.0.4-4ubuntu3
2024-04-24 10:47:10 status half-installed libproc2-0:amd64 2:4.0.4-4ubuntu3
2024-04-24 10:47:10 status unpacked libproc2-0:amd64 2:4.0.4-4ubuntu3
2024-04-24 10:47:10 install libselinux1:amd64 <none> 3.5-2ubuntu2
2024-04-24 10:47:10 status half-installed libselinux1:amd64 3.5-2ubuntu2
2024-04-24 10:47:10 status unpacked libselinux1:amd64 3.5-2ubuntu2
2024-04-24 10:47:10 install libsemanage-common:all <none> 3.5-1build5
2024-04-24 10:47:10 status half-installed libsemanage-common:all 3.5-1build5
2024-04-24 10:47:10 status unpacked libsemanage-common:all 3.5-1build5
2024-04-24 10:47:10 install libsemanage2:amd64 <none> 3.5-1build5
2024-04-24 10:47:10 status half-installed libsemanage2:amd64 3.5-1build5
2024-04-24 10:47:10 status unpacked libsemanage2:amd64 3.5-1build5
2024-04-24 10:47:10 install libsepol2:amd64 <none> 3.5-2build1
2024-04-24 10:47:10 status half-installed libsepol2:amd64 3.5-2build1
2024-04-24 10:47:10 status unpacked libsepol2:amd64 3.5-2build1
2024-04-24 10:47:10 install libsmartcols1:amd64 <none> 2.39.3-9ubuntu6
